City,Country,Date,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind Speed,Year,Month,Pollution_Index,Temp_Bin
Rio De Janeiro,Brazil,2023-03-12,69.11,66.95,93.83,9.47,7.44,85.1,-0.95,51.4,13.14,2023,3,55.31666666666666,Muito Frio
Moscow,Russia,2023-10-28,83.43,147.22,69.61,1.96,5.25,62.63,24.1,24.44,12.21,2023,10,61.68333333333333,Quente
Mumbai,India,2023-10-18,89.49,22.58,77.46,46.77,8.69,37.15,-2.42,61.29,5.27,2023,10,47.02333333333333,Muito Frio
Mexico City,Mexico,2023-04-14,128.8,78.22,82.96,33.73,7.26,130.11,7.37,60.6,1.18,2023,4,76.84666666666668,Frio
Paris,France,2023-11-25,74.27,22.48,28.34,5.19,4.51,85.87,25.05,12.73,18.83,2023,11,36.776666666666664,Quente
New York,Usa,2023-03-11,71.19,152.28,59.61,38.15,8.53,95.3,33.59,43.37,13.96,2023,3,70.84333333333332,Muito Quente
Madrid,Spain,2023-03-24,138.01,144.76,43.96,34.38,6.38,143.06,29.42,83.88,11.12,2023,3,85.09166666666665,Quente
Istanbul,Turkey,2023-03-26,141.07,180.87,64.77,36.89,5.19,99.49,20.56,59.9,13.73,2023,3,88.04666666666667,Quente
Istanbul,Turkey,2023-06-19,130.25,146.3,69.33,10.69,6.42,161.41,37.59,41.41,4.12,2023,6,87.39999999999999,Muito Quente
Sydney,Australia,2023-12-19,100.49,158.5,64.92,5.32,3.17,114.58,3.86,98.74,4.98,2023,12,74.49666666666667,Frio
Istanbul,Turkey,2023-09-01,20.37,159.92,30.59,45.4,4.91,72.99,39.57,94.78,16.01,2023,9,55.696666666666665,Muito Quente
Cairo,Egypt,2023-07-14,119.63,80.06,77.28,32.73,0.64,11.24,26.71,53.75,12.07,2023,7,53.59666666666667,Quente
Los Angeles,Usa,2023-04-24,148.05,84.57,97.71,11.14,5.82,194.72,27.69,10.62,7.55,2023,4,90.335,Quente
Toronto,Canada,2023-12-24,103.62,190.24,12.28,36.23,5.55,166.62,4.38,28.07,9.65,2023,12,85.75666666666666,Frio
Moscow,Russia,2023-01-21,58.66,14.66,72.78,15.02,0.56,56.18,33.71,67.48,9.22,2023,1,36.31,Muito Quente
Mumbai,India,2023-05-22,37.66,122.96,60.73,24.27,2.71,188.61,28.2,29.19,18.52,2023,5,72.82333333333334,Quente
Paris,France,2023-06-08,72.8,63.12,81.99,36.2,2.15,14.26,23.55,74.17,10.85,2023,6,45.08666666666665,Quente
Mumbai,India,2023-08-23,77.45,151.21,14.56,5.74,6.17,147.87,-7.47,52.02,8.94,2023,8,67.16666666666667,Muito Frio
Mexico City,Mexico,2023-05-01,146.72,11.9,40.6,48.84,9.17,11.93,20.65,79.13,6.16,2023,5,44.86000000000001,Quente
Rio De Janeiro,Brazil,2023-07-02,32.33,105.66,24.29,19.0,3.99,99.94,37.9,86.03,4.22,2023,7,47.535000000000004,Muito Quente
New York,Usa,2023-06-06,21.8,71.51,74.7,11.27,1.75,76.6,39.05,34.01,11.81,2023,6,42.93833333333333,Muito Quente
Rio De Janeiro,Brazil,2023-10-06,87.07,85.19,88.69,35.81,6.08,182.3,32.33,99.66,2.77,2023,10,80.85666666666667,Muito Quente
Cairo,Egypt,2023-12-27,55.44,191.06,40.02,18.4,3.37,67.35,-9.62,60.97,5.11,2023,12,62.60666666666666,Muito Frio
Mumbai,India,2023-06-26,144.95,158.4,90.01,1.89,1.8,73.86,38.4,48.53,11.91,2023,6,78.485,Muito Quente
Tokyo,Japan,2023-05-28,9.9,65.66,23.25,42.52,5.02,176.46,22.63,67.51,11.56,2023,5,53.80166666666668,Quente
Bangkok,Thailand,2023-10-10,63.9,119.19,27.63,44.65,8.45,24.76,13.46,53.64,9.19,2023,10,48.096666666666664,Ameno
Sydney,Australia,2023-09-02,44.14,173.54,55.14,11.35,7.25,27.23,22.05,46.55,1.8,2023,9,53.10833333333334,Quente
Cairo,Egypt,2023-10-20,106.05,34.58,50.65,26.87,0.68,56.14,7.02,33.74,10.07,2023,10,45.82833333333334,Frio
Los Angeles,Usa,2023-05-24,142.44,78.09,39.89,48.76,2.77,78.37,8.84,60.08,14.92,2023,5,65.05333333333333,Frio
Paris,France,2023-08-12,115.9,192.59,40.41,39.68,4.11,88.56,9.39,54.5,9.92,2023,8,80.20833333333333,Frio
Mexico City,Mexico,2023-05-10,5.49,113.31,68.29,13.41,8.85,187.1,33.67,62.82,14.94,2023,5,66.075,Muito Quente
Paris,France,2023-02-11,20.02,148.55,79.87,5.58,0.74,31.16,-3.18,39.03,8.06,2023,2,47.65333333333334,Muito Frio
Mumbai,India,2023-06-10,114.16,73.74,25.42,19.3,0.19,124.68,32.84,27.76,16.7,2023,6,59.58166666666667,Muito Quente
Paris,France,2023-03-21,123.26,85.23,39.19,8.13,6.68,142.73,8.29,37.2,4.2,2023,3,67.53666666666668,Frio
Los Angeles,Usa,2023-10-02,137.18,59.78,29.19,49.83,8.61,29.87,24.54,52.16,13.81,2023,10,52.410000000000004,Quente
Istanbul,Turkey,2023-03-18,5.66,54.26,54.62,32.82,5.78,185.95,37.41,37.95,19.74,2023,3,56.51499999999999,Muito Quente
Toronto,Canada,2023-10-16,82.5,45.4,46.54,45.4,0.63,43.62,36.51,99.24,12.5,2023,10,44.01499999999999,Muito Quente
Seoul,South Korea,2023-08-06,63.6,63.1,29.12,7.0,2.99,199.32,-7.2,39.82,10.76,2023,8,60.855,Muito Frio
Bangkok,Thailand,2023-05-18,50.14,74.98,68.73,45.33,8.96,109.38,22.42,49.69,17.67,2023,5,59.586666666666666,Quente
Berlin,Germany,2023-06-24,88.0,69.23,83.63,36.93,2.29,85.15,39.02,64.91,2.02,2023,6,60.87166666666667,Muito Quente
Madrid,Spain,2023-10-15,27.86,70.02,64.94,30.54,6.32,27.87,6.87,37.26,2.56,2023,10,37.925,Frio
Madrid,Spain,2023-06-27,47.84,159.0,52.49,39.71,4.07,176.78,-9.47,93.63,19.84,2023,6,79.98166666666667,Muito Frio
Sydney,Australia,2023-03-15,84.92,169.36,86.84,14.75,3.89,121.46,24.36,99.58,16.67,2023,3,80.20333333333333,Quente
Rio De Janeiro,Brazil,2023-09-09,129.75,26.93,72.63,16.66,6.64,137.63,0.6,55.79,1.13,2023,9,65.04,Frio
London,Uk,2023-02-17,143.09,175.85,44.14,20.59,3.92,160.2,-0.47,66.37,1.31,2023,2,91.29833333333333,Muito Frio
Bangkok,Thailand,2023-08-26,91.48,146.71,73.79,17.95,3.3,66.59,37.89,70.78,10.96,2023,8,66.63666666666667,Muito Quente
Sydney,Australia,2023-01-08,84.35,74.41,41.19,5.29,5.17,155.78,26.49,87.74,11.58,2023,1,61.03166666666666,Quente
Mexico City,Mexico,2023-06-02,145.71,24.21,29.87,39.23,9.41,52.36,20.31,65.57,19.24,2023,6,50.13166666666667,Quente
Cairo,Egypt,2023-01-11,15.49,166.6,16.59,27.53,0.47,53.49,25.68,23.47,13.07,2023,1,46.695,Quente
London,Uk,2023-09-12,140.7,109.91,37.91,40.65,2.79,192.33,37.79,10.6,8.44,2023,9,87.38166666666666,Muito Quente
London,Uk,2023-05-01,143.68,164.82,51.3,14.49,1.81,181.42,16.03,86.26,2.3,2023,5,92.92,Ameno
Istanbul,Turkey,2023-11-27,41.93,96.3,66.84,2.82,4.23,180.66,35.36,50.23,15.27,2023,11,65.46333333333332,Muito Quente
Bangkok,Thailand,2023-11-02,97.61,22.7,14.7,45.45,3.59,70.76,23.04,14.98,8.64,2023,11,42.468333333333334,Quente
Rio De Janeiro,Brazil,2023-08-06,29.09,93.21,7.69,17.97,3.75,80.85,29.58,69.71,12.13,2023,8,38.76,Quente
Rio De Janeiro,Brazil,2023-08-10,16.76,102.65,65.51,48.63,3.71,14.45,1.21,23.94,15.34,2023,8,41.95166666666667,Frio
New York,Usa,2023-06-16,134.05,182.71,19.94,38.66,1.06,83.26,34.37,64.41,16.65,2023,6,76.61333333333333,Muito Quente
Beijing,China,2023-05-25,50.25,92.07,40.15,15.55,2.74,192.83,24.24,28.39,4.15,2023,5,65.59833333333334,Quente
Mexico City,Mexico,2023-08-19,117.64,186.7,49.27,33.49,4.01,36.93,-5.73,58.29,15.07,2023,8,71.33999999999999,Muito Frio
Mexico City,Mexico,2023-04-27,61.51,60.47,42.52,30.08,5.99,134.57,39.0,11.76,7.1,2023,4,55.85666666666666,Muito Quente
Toronto,Canada,2023-10-28,42.79,186.5,34.72,32.75,4.05,165.8,15.76,19.82,16.22,2023,10,77.76833333333333,Ameno
Dubai,Uae,2023-12-10,99.67,182.25,15.05,30.31,0.71,104.82,17.65,72.44,6.78,2023,12,72.135,Ameno
Bangkok,Thailand,2023-01-23,43.62,96.22,91.76,46.28,0.62,135.4,35.98,51.28,11.73,2023,1,68.98333333333333,Muito Quente
Beijing,China,2023-12-17,104.18,150.19,44.32,12.11,4.76,162.48,13.06,92.3,18.97,2023,12,79.67333333333333,Ameno
Madrid,Spain,2023-07-17,132.13,125.22,51.69,29.84,3.87,160.86,-8.56,51.01,3.96,2023,7,83.935,Muito Frio
Berlin,Germany,2023-09-09,122.71,110.47,78.72,45.35,2.38,89.7,30.95,30.06,10.06,2023,9,74.88833333333334,Muito Quente
Cairo,Egypt,2023-11-21,82.76,11.97,45.12,21.02,2.78,192.53,-8.58,40.44,16.83,2023,11,59.36333333333334,Muito Frio
Tokyo,Japan,2023-03-19,116.55,15.85,8.0,48.47,3.81,106.48,12.08,47.46,2.04,2023,3,49.86000000000001,Ameno
Bangkok,Thailand,2023-08-12,148.44,193.88,24.88,7.26,9.12,10.37,36.0,47.83,11.48,2023,8,65.65833333333333,Muito Quente
Bangkok,Thailand,2023-12-09,7.17,67.57,40.12,24.43,0.56,145.28,5.5,73.42,5.22,2023,12,47.52166666666667,Frio
Los Angeles,Usa,2023-12-28,58.13,81.33,31.67,8.3,1.95,167.79,0.32,86.18,4.74,2023,12,58.19499999999999,Frio
Johannesburg,South Africa,2023-05-26,81.57,125.21,27.25,10.14,5.23,133.79,19.49,84.25,18.29,2023,5,63.86499999999999,Ameno
Los Angeles,Usa,2023-02-28,106.1,192.72,87.56,30.66,9.42,84.44,9.32,34.94,2.89,2023,2,85.15,Frio
Cairo,Egypt,2023-09-04,113.13,196.42,75.01,27.82,1.86,135.44,30.27,87.22,8.1,2023,9,91.61333333333333,Muito Quente
Dubai,Uae,2023-02-13,36.24,57.46,21.67,49.47,7.87,159.22,-8.97,59.82,18.5,2023,2,55.321666666666665,Muito Frio
Bangkok,Thailand,2023-03-27,109.45,135.77,89.51,49.18,2.14,40.67,6.52,77.24,17.63,2023,3,71.12,Frio
New York,Usa,2023-06-21,87.36,75.87,22.89,23.88,4.58,98.42,23.67,55.59,9.74,2023,6,52.166666666666664,Quente
Bangkok,Thailand,2023-06-27,24.85,27.35,27.68,44.03,7.68,33.61,26.68,76.15,9.0,2023,6,27.53333333333333,Quente
Paris,France,2023-09-03,101.21,70.07,43.33,28.93,4.19,20.25,-8.26,72.42,6.54,2023,9,44.66333333333333,Muito Frio
New York,Usa,2023-08-24,27.18,26.47,66.21,45.15,5.42,139.81,4.46,30.05,1.57,2023,8,51.70666666666667,Frio
Beijing,China,2023-10-09,18.23,85.36,59.85,46.99,8.92,121.09,3.44,40.15,18.89,2023,10,56.74,Frio
Toronto,Canada,2023-06-21,76.83,99.21,70.75,15.22,5.27,185.11,23.05,48.47,9.14,2023,6,75.39833333333333,Quente
Dubai,Uae,2023-04-27,103.53,86.55,32.2,28.73,5.87,12.05,-8.35,15.23,13.42,2023,4,44.82166666666666,Muito Frio
Madrid,Spain,2023-06-21,142.21,73.79,19.41,2.3,5.31,49.86,1.93,35.25,15.1,2023,6,48.81333333333333,Frio
Cairo,Egypt,2023-07-12,48.36,181.74,95.72,1.04,9.15,79.65,38.31,74.78,6.27,2023,7,69.27666666666669,Muito Quente
Rio De Janeiro,Brazil,2023-08-01,140.81,112.01,92.23,19.31,1.84,162.49,-5.06,21.72,11.02,2023,8,88.11500000000001,Muito Frio
Berlin,Germany,2023-04-18,36.97,174.27,92.31,5.83,6.72,53.04,2.67,19.65,18.08,2023,4,61.52333333333334,Frio
Dubai,Uae,2023-12-24,7.9,176.85,63.2,12.53,4.17,195.52,19.83,66.06,11.92,2023,12,76.695,Ameno
Dubai,Uae,2023-10-22,48.53,58.95,86.86,30.17,3.44,189.93,-5.37,55.04,3.76,2023,10,69.64666666666666,Muito Frio
Madrid,Spain,2023-10-12,56.2,115.21,37.11,18.8,3.22,18.7,7.2,89.72,14.71,2023,10,41.54,Frio
Tokyo,Japan,2023-11-17,106.97,143.17,49.0,21.1,3.06,184.43,38.23,81.14,15.34,2023,11,84.62166666666667,Muito Quente
Moscow,Russia,2023-10-23,133.99,193.54,49.1,45.92,9.06,132.52,0.34,99.63,16.47,2023,10,94.02166666666666,Frio
Berlin,Germany,2023-01-10,22.05,196.64,59.36,23.47,1.47,178.93,19.26,65.73,2.78,2023,1,80.32000000000001,Ameno
Moscow,Russia,2023-01-22,23.26,31.18,72.35,23.0,1.19,47.33,22.75,31.57,18.98,2023,1,33.05166666666667,Quente
Toronto,Canada,2023-05-22,107.28,50.78,32.19,46.2,7.22,180.13,19.77,35.36,14.9,2023,5,70.63333333333333,Ameno
New York,Usa,2023-12-25,51.23,197.82,80.38,47.53,1.74,20.81,33.91,63.69,18.45,2023,12,66.585,Muito Quente
Mumbai,India,2023-03-13,142.55,189.38,7.66,7.98,6.92,56.56,16.42,91.71,5.17,2023,3,68.50833333333334,Ameno
Madrid,Spain,2023-03-15,105.74,182.03,44.08,2.95,2.88,35.15,16.07,50.22,16.47,2023,3,62.13833333333332,Ameno
Tokyo,Japan,2023-06-17,93.68,59.02,30.01,26.48,4.69,171.34,1.8,55.67,11.77,2023,6,64.20333333333333,Frio
Istanbul,Turkey,2023-08-28,134.62,165.45,83.39,39.7,5.1,41.31,11.75,51.71,2.71,2023,8,78.26166666666667,Ameno
New York,Usa,2023-11-22,75.67,56.37,94.76,21.73,7.69,133.39,-6.52,10.92,2.91,2023,11,64.935,Muito Frio
Berlin,Germany,2023-11-19,135.33,46.11,89.69,29.94,9.83,186.39,27.04,95.78,0.85,2023,11,82.88166666666666,Quente
Rio De Janeiro,Brazil,2023-06-01,62.61,194.27,60.84,44.48,1.27,156.38,0.17,30.73,11.0,2023,6,86.64166666666667,Frio
Rio De Janeiro,Brazil,2023-07-28,20.56,19.06,85.27,10.54,3.19,58.93,25.81,91.46,18.5,2023,7,32.925,Quente
Bangkok,Thailand,2023-07-27,109.92,158.76,37.26,5.75,5.74,82.29,15.96,86.54,19.14,2023,7,66.62,Ameno
Berlin,Germany,2023-11-21,141.59,176.33,84.38,39.38,1.96,169.19,7.3,11.72,16.31,2023,11,102.13833333333332,Frio
Berlin,Germany,2023-12-24,37.63,141.74,67.32,12.82,5.07,58.86,9.44,77.1,15.91,2023,12,53.906666666666666,Frio
Johannesburg,South Africa,2023-08-17,108.32,153.08,14.25,34.62,6.1,83.46,18.41,20.11,9.27,2023,8,66.63833333333334,Ameno
Tokyo,Japan,2023-02-24,122.81,124.47,53.19,21.88,9.94,10.11,18.04,12.19,14.71,2023,2,57.06666666666667,Ameno
Toronto,Canada,2023-01-13,13.93,188.98,61.63,6.29,2.55,70.5,3.38,93.85,16.04,2023,1,57.31333333333334,Frio
Istanbul,Turkey,2023-11-03,71.6,168.4,14.88,44.17,5.24,140.11,22.4,77.04,19.8,2023,11,74.06666666666668,Quente
London,Uk,2023-09-20,18.87,67.55,29.58,48.67,4.96,80.61,21.13,75.0,4.83,2023,9,41.70666666666667,Quente
Dubai,Uae,2023-09-25,22.27,20.48,92.96,8.74,3.51,46.73,18.99,36.0,14.83,2023,9,32.44833333333333,Ameno
Sydney,Australia,2023-12-02,21.63,131.64,91.93,25.92,7.8,39.01,-2.21,72.86,4.64,2023,12,52.98833333333334,Muito Frio
Bangkok,Thailand,2023-12-02,147.95,46.83,30.12,49.26,3.46,111.03,-3.78,53.9,15.74,2023,12,64.77499999999999,Muito Frio
Istanbul,Turkey,2023-06-12,58.33,103.74,27.16,45.17,8.61,100.1,34.87,94.52,9.38,2023,6,57.185,Muito Quente
Dubai,Uae,2023-08-14,113.57,182.44,98.62,6.65,7.32,59.75,4.67,79.9,9.85,2023,8,78.05833333333332,Frio
Rio De Janeiro,Brazil,2023-05-18,143.17,67.59,34.91,17.05,1.49,158.04,-3.04,98.52,15.61,2023,5,70.375,Muito Frio
Rio De Janeiro,Brazil,2023-08-02,138.6,95.56,26.64,32.72,4.96,48.36,-1.8,43.02,1.98,2023,8,57.806666666666665,Muito Frio
Johannesburg,South Africa,2023-08-13,95.78,120.41,13.53,2.44,4.76,158.63,8.73,99.86,7.65,2023,8,65.925,Frio
Beijing,China,2023-07-21,105.15,30.89,27.79,9.66,7.34,123.33,-0.0,26.84,7.27,2023,7,50.693333333333335,Muito Frio
Sydney,Australia,2023-12-17,99.12,100.43,22.45,6.89,2.18,87.89,20.95,98.42,6.51,2023,12,53.16,Quente
London,Uk,2023-03-16,32.26,174.93,32.57,45.86,6.43,68.5,39.37,47.69,12.27,2023,3,60.09166666666667,Muito Quente
Los Angeles,Usa,2023-11-20,51.0,65.02,37.8,18.2,0.64,186.14,25.39,36.57,1.16,2023,11,59.79999999999999,Quente
Sydney,Australia,2023-06-17,107.15,21.99,69.3,31.19,6.65,112.04,5.17,33.45,16.69,2023,6,58.053333333333335,Frio
Tokyo,Japan,2023-07-24,111.68,148.39,96.6,44.06,1.4,50.25,-7.35,21.01,14.07,2023,7,75.39666666666666,Muito Frio
Moscow,Russia,2023-06-21,71.61,135.7,61.54,48.2,2.55,125.14,35.8,75.39,5.23,2023,6,74.12333333333333,Muito Quente
Mexico City,Mexico,2023-02-23,64.72,89.08,94.8,36.67,3.36,45.65,0.71,85.33,15.07,2023,2,55.71333333333334,Frio
Mexico City,Mexico,2023-12-18,62.81,94.94,11.02,21.97,6.15,29.37,5.14,57.21,0.9,2023,12,37.71,Frio
Moscow,Russia,2023-10-19,103.86,189.45,87.36,49.54,7.87,54.01,8.64,68.64,12.47,2023,10,82.015,Frio
Bangkok,Thailand,2023-08-25,20.5,91.96,56.48,2.85,1.48,41.52,13.3,33.0,3.26,2023,8,35.79833333333333,Ameno
Mumbai,India,2023-11-25,17.6,75.31,92.86,28.39,6.18,94.76,39.72,18.08,6.42,2023,11,52.51666666666666,Muito Quente
Berlin,Germany,2023-04-07,56.21,162.96,68.29,3.65,8.76,59.23,25.26,24.62,1.66,2023,4,59.85,Quente
Sydney,Australia,2023-09-27,78.04,81.83,46.6,45.89,6.73,164.0,16.66,28.56,10.95,2023,9,70.515,Ameno
Johannesburg,South Africa,2023-04-17,138.23,188.75,45.5,15.28,5.14,108.28,-6.11,35.35,12.9,2023,4,83.52999999999999,Muito Frio
Seoul,South Korea,2023-01-03,25.37,40.66,40.16,14.08,5.29,59.5,-0.64,17.92,14.71,2023,1,30.843333333333334,Muito Frio
Berlin,Germany,2023-02-11,50.44,22.91,19.01,43.73,9.82,20.52,24.69,33.8,13.54,2023,2,27.738333333333333,Quente
Seoul,South Korea,2023-12-02,67.23,14.08,57.71,21.87,1.13,179.3,4.28,73.72,16.9,2023,12,56.88666666666668,Frio
Sydney,Australia,2023-07-28,33.1,102.66,8.91,41.34,4.99,70.87,8.0,21.32,3.63,2023,7,43.645,Frio
